Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0603_1608Metric",167.300000,-105.000000,270.000000,top
"C5","0.1u","C_0201_0603Metric",154.490000,-96.030000,270.000000,top
"C10","1000p","C_0201_0603Metric",164.875000,-95.390000,0.000000,top
"C11","10u","C_0603_1608Metric",166.937500,-94.300000,180.000000,top
"C12","1000p","C_0201_0603Metric",163.360000,-95.380000,180.000000,top
"C13","10u","C_0603_1608Metric",163.862500,-94.300000,0.000000,top
"C15","NC","C_0201_0603Metric",161.950000,-94.305000,270.000000,top
"C16","NC","C_0201_0603Metric",157.725000,-94.425000,90.000000,top
"C17","0.1u","C_0201_0603Metric",166.380000,-95.380000,180.000000,top
"C18","0.1u","C_0201_0603Metric",166.140000,-96.430000,90.000000,top
"C19","1u","C_0402_1005Metric",167.670000,-96.470000,270.000000,top
"C20","100p","C_0201_0603Metric",166.150000,-98.100000,270.000000,top
"C21","0.01u","C_0201_0603Metric",166.850000,-98.100000,90.000000,top
"C22","0.1u","C_0201_0603Metric",157.700000,-98.360000,270.000000,top
"C23","4.7p","C_0201_0603Metric",166.850000,-99.500000,90.000000,top
"C24","0.1u","C_0201_0603Metric",166.550000,-100.600000,0.000000,top
"C25","0.1u","C_0201_0603Metric",157.670000,-100.240000,270.000000,top
"C26","47p","C_0201_0603Metric",166.550000,-101.300000,0.000000,top
"C28","3.3n","C_0201_0603Metric",167.650000,-102.300000,270.000000,top
"C29","0.1u","C_0201_0603Metric",166.550000,-102.800000,180.000000,top
"C31","0.1u","C_0201_0603Metric",164.350000,-104.100000,270.000000,top
"C32","0.1u","C_0201_0603Metric",161.110000,-103.700000,180.000000,top
"C33","NC","C_0201_0603Metric",161.070000,-105.200000,180.000000,top
"C34","100p","C_0201_0603Metric",165.050000,-104.100000,270.000000,top
"C35","3.0p","C_0201_0603Metric",161.105000,-104.400000,180.000000,top
"C36","0.6p","C_0201_0603Metric",164.316000,-105.520000,270.000000,top
"C37","1u","C_0201_0603Metric",163.270000,-104.450000,0.000000,top
"C38","100p","C_0201_0603Metric",163.270000,-103.700000,180.000000,top
"C39","2.4p","C_0201_0603Metric",159.350000,-104.780000,270.000000,top
"C40","0.9p","C_0201_0603Metric",156.280000,-103.160000,270.000000,top
"C41","0.5p","C_0201_0603Metric",158.980000,-103.700000,0.000000,top
"C42","0.01u","C_0201_0603Metric",161.070000,-105.900000,180.000000,top
"C43","NC","C_0201_0603Metric",157.330000,-104.220000,0.000000,top
"C44","0.01u","C_0201_0603Metric",158.650000,-104.800000,270.000000,top
"C45","1000p","C_0201_0603Metric",158.980000,-105.900000,0.000000,top
"C46","1000p","C_0201_0603Metric",156.270000,-101.750000,270.000000,top
"C47","47p","C_0201_0603Metric",154.880000,-100.050000,90.000000,top
"C48","47p","C_0201_0603Metric",155.940000,-105.220000,270.000000,top
"L1","4.3n","L_0201_0603Metric",166.150000,-99.500000,90.000000,top
"L2","10n","L_0201_0603Metric",162.175000,-104.080000,270.000000,top
"L3","13n","L_0201_0603Metric",165.420000,-105.200000,0.000000,top
"L4","NC","L_0201_0603Metric",165.475000,-106.246000,0.000000,top
"L5","15n","L_0201_0603Metric",160.050000,-104.100000,270.000000,top
"L6","6.2n","L_0201_0603Metric",156.980000,-102.470000,270.000000,top
"L7","6.2n","L_0201_0603Metric",157.690000,-102.470000,90.000000,top
"L8","NC","L_0201_0603Metric",157.340000,-103.520000,180.000000,top
"L9","2.2n","L_0201_0603Metric",153.130000,-99.000000,0.000000,top
"L10","0.039u","L_0201_0603Metric",154.530000,-99.000000,0.000000,top
"L11","6.8n","L_0201_0603Metric",154.530000,-98.300000,0.000000,top
"R5","10k","R_0201_0603Metric",157.530000,-96.000000,270.000000,top
"R6","10k","R_0201_0603Metric",156.390000,-94.250000,270.000000,top
"R7","10k","R_0201_0603Metric",154.510000,-94.230000,90.000000,top
"R8","51","R_0201_0603Metric",167.550000,-98.100000,90.000000,top
"R9","8.2k","R_0201_0603Metric",166.540000,-102.012000,0.000000,top
"U1","ML7396D","WQFN-40-1EP_6x6mm_P0.5mm_EP4.2x4.2mm",161.800000,-99.600000,270.000000,top
"U3","SKY13438-374LF","SKY13438_374LF",157.250000,-105.700000,90.000000,top
"U5","NX2016S","NX2016SA",159.900000,-94.650000,180.000000,top
